Takim,Sezon,Kadro_Sayisi,Ortalama_Yas,Yabanci_Oyuncu_Sayisi,Kaleci_Sayisi,Kaleci_Toplam_Deger_Euro,Kaleci_Ortalama_Deger_Euro,Defans_Sayisi,Defans_Toplam_Deger_Euro,Defans_Ortalama_Deger_Euro,Ortasaha_Sayisi,Ortasaha_Toplam_Deger_Euro,Ortasaha_Ortalama_Deger_Euro,Forvet_Sayisi,Forvet_Toplam_Deger_Euro,Forvet_Ortalama_Deger_Euro,Ortalama_Piyasa_Degeri_Euro,Toplam_Piyasa_Degeri_Euro
Giresunspor,2022-2023,36,25.2,12,5,575000,115000,19,9475000,498684.2105263158,5,2225000,445000,7,6100000,871428.5714285715,510000,18380000
Ümraniyespor,2022-2023,42,26.5,15,5,1875000,375000,13,3175000,244230.7692307692,12,1950000,162500,12,5050000,420833.3333333333,287000,12050000
Galatasaray,2023-2024,46,26.1,23,5,2725000,545000,16,108700000,6793750,8,23100000,2887500,17,121125000,7125000,5560000,255650000
Fenerbahçe,2023-2024,55,25,19,6,22550000,3758333.3333333335,23,100400000,4365217.391304348,10,47200000,4720000,16,48150000,3009375,3970000,218300000
Beşiktaş,2023-2024,49,26.1,21,5,3350000,670000,23,71550000,3110869.565217391,7,37275000,5325000,14,34700000,2478571.4285714286,3000000,146880000
Trabzonspor,2023-2024,40,25.7,18,4,9700000,2425000,16,35175000,2198437.5,9,25800000,2866666.6666666665,11,47700000,4336363.636363637,2960000,118380000
Başakşehir,2023-2024,43,27,21,4,2150000,537500,19,19325000,1017105.2631578948,9,14500000,1611111.111111111,11,18175000,1652272.7272727273,1260000,54150000
Adana Demirspor,2023-2024,52,26.2,29,7,1475000,210714.2857142857,18,21550000,1197222.2222222222,9,9500000,1055555.5555555555,18,20775000,1154166.6666666667,1030000,53300000
Samsunspor,2023-2024,41,26.4,18,5,1250000,250000,16,9550000,596875,8,8925000,1115625,12,15150000,1262500,851000,34880000
Ç. Rizespor,2023-2024,42,24.8,19,4,2350000,587500,16,13350000,834375,11,7675000,697727.2727272727,11,10775000,979545.4545454546,813000,34150000
Kayserispor,2023-2024,39,25.8,17,4,3175000,793750,19,12675000,667105.2631578947,6,6775000,1129166.6666666667,10,11425000,1142500,873000,34050000
Ankaragücü,2023-2024,43,26.3,21,5,1775000,355000,18,10500000,583333.3333333334,7,8575000,1225000,13,12525000,963461.5384615384,776000,33380000.000000004
Alanyaspor,2023-2024,37,26.4,16,3,175000,58333.333333333336,12,9675000,806250,13,11000000,846153.8461538461,9,11675000,1297222.2222222222,879000,32530000
Karagümrük,2023-2024,45,27.1,24,5,950000,190000,15,12400000,826666.6666666666,16,9550000,596875,9,9425000,1047222.2222222222,718000,32330000
Konyaspor,2023-2024,42,26.8,21,4,3300000,825000,17,11850000,697058.8235294118,6,6450000,1075000,15,10675000,711666.6666666666,768000,32280000
